Tooth,Jaw,Augmented_Missing%,Random_Missing%,Difference
11,upper,30.721649484536083,27.444444444444443,-3.2772050400916406
12,upper,32.78350515463917,27.38888888888889,-5.394616265750283
13,upper,41.649484536082475,29.944444444444446,-11.705040091638029
14,upper,29.896907216494846,27.111111111111114,-2.7857961053837315
15,upper,28.865979381443296,26.77777777777778,-2.0882016036655173
16,upper,23.505154639175256,26.444444444444443,2.939289805269187
17,upper,42.47422680412371,37.611111111111114,-4.863115693012595
18,upper,95.05154639175257,95.5,0.4484536082474335
21,upper,29.48453608247423,25.555555555555554,-3.928980526918675
22,upper,29.896907216494846,25.222222222222225,-4.674684994272621
23,upper,35.670103092783506,29.833333333333336,-5.836769759450171
24,upper,29.896907216494846,27.555555555555557,-2.3413516609392886
25,upper,27.010309278350515,27.611111111111107,0.6008018327605917
26,upper,22.474226804123713,25.333333333333336,2.8591065292096225
27,upper,42.68041237113402,36.666666666666664,-6.013745704467354
28,upper,96.28865979381443,95.94444444444444,-0.3442153493699891
31,lower,28.98876404494382,25.833333333333336,-3.155430711610485
32,lower,30.337078651685395,25.166666666666664,-5.170411985018731
33,lower,30.112359550561795,25.61111111111111,-4.501248439450684
34,lower,31.235955056179776,27.0,-4.235955056179776
35,lower,29.8876404494382,26.722222222222225,-3.1654182272159765
36,lower,23.370786516853933,26.833333333333332,3.4625468164793993
37,lower,37.52808988764045,31.38888888888889,-6.139200998751559
38,lower,95.0561797752809,94.88888888888889,-0.16729088639200995
41,lower,31.235955056179776,27.166666666666668,-4.069288389513108
42,lower,31.910112359550563,26.0,-5.910112359550563
43,lower,27.86516853932584,25.27777777777778,-2.587390761548061
44,lower,26.516853932584272,25.222222222222225,-1.2946317103620473
45,lower,29.213483146067414,26.555555555555554,-2.6579275905118607
46,lower,21.573033707865168,27.333333333333332,5.760299625468164
47,lower,39.325842696629216,32.44444444444444,-6.881398252184773
48,lower,94.3820224719101,95.11111111111111,0.7290886392010094
